statusCode,statusMessage,croppingSerlNo,croppingSeasonName,croppingDate,croppingEndDate,croppingSystem,itemCode,cultivationArea,calCultivationArea,plantNum,calPlantNum,stemSlabNum,planSlabNum,plantDensity,standardPlantDensity,floodlightDec,leafArea,stndTemp,stndWeight,stndSolar,stndMeta,userId
0.0,NORMAL_CODE,69.0,다볼_20150625,2015-06-25 00:00:00,2016-12-31 00:00:00,B0004000000000000002,80300.0,3000.0,9900.0,22068.0,2.73,2.0,2.0,2.23,6.8,0.7000000000000001,0.0,20.0,180.0,150.0,150.0,PFS_0000006
0.0,NORMAL_CODE,70.0,데프니스_20150712,2015-07-12 00:00:00,2016-12-31 00:00:00,B0004000000000000002,80300.0,5800.0,19140.0,54260.0,2.73,5.0,5.0,2.83,2.5,0.8,0.0,20.0,180.0,150.0,130.0,PFS_0000007
0.0,NORMAL_CODE,537.0,2019_딸기_육보,2018-09-01 00:00:00,2019-05-31 00:00:00,B0004000000000000002,80400.0,,,,,,,,,,,,,,,PFS_0000008
,,536.0,2018_토마토,2018-10-26 00:00:00,2019-07-01 00:00:00,B0004000000000000002,80300.0,,,,,,,,,,,,,,,PFS_0000008
,,71.0,다볼_20150729,2015-07-29 00:00:00,2016-12-31 00:00:00,B0004000000000000002,80300.0,870.0,2871.0,7218.0,2.73,4.0,4.0,2.51,6.8,0.7000000000000001,0.0,20.0,180.0,120.0,150.0,PFS_0000008
,,3263.0,2020년_오이,2020-05-05 00:00:00,2020-09-30 00:00:00,,90100.0,370.0,1223.14,7000.0,0.2,,,,,,,,,,,PFS_0000008
,,3663.0,2020년 _토마토,2020-09-06 00:00:00,2021-05-15 00:00:00,,80300.0,870.0,2876.03,7200.0,0.4,,,,,,,,,,,PFS_0000008
,,4809.0,2021년_오이,2021-09-28 00:00:00,2022-03-20 00:00:00,,90100.0,870.0,2876.03,6800.0,0.4,,,,,,,,,,,PFS_0000008
,,5377.0,2022_오이(취청),2022-03-13 00:00:00,2022-06-30 00:00:00,,90100.0,998.25,3300.0,6800.0,0.5,,,,,,,,,,,PFS_0000008
,,5970.0,2022년_방울토마토(대추방울토마토),2022-11-01 00:00:00,2023-06-30 00:00:00,,80600.0,870.0,2876.03,7000.0,0.4,,,,,,,,,,,PFS_0000008
0.0,NORMAL_CODE,72.0,다볼_20150720,2015-07-20 00:00:00,2016-12-31 00:00:00,B0004000000000000002,80300.0,3000.0,9900.0,24935.0,2.73,6.0,6.0,2.52,6.8,0.7000000000000001,0.0,20.0,180.0,120.0,150.0,PFS_0000009
0.0,NORMAL_CODE,177.0,시로코_20150731,2015-07-31 00:00:00,2016-07-20 00:00:00,B0004000000000000002,132600.0,2962.0,9792.0,,2.73,,,,2.5,,0.0,,100.0,75.0,,PFS_0000010
0.0,NORMAL_CODE,36.0,스카이토스트_150905,2015-09-05 00:00:00,2016-12-31 00:00:00,B0004000000000000001,80300.0,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7000000000000001,0.0,18.0,170.0,100.0,130.0,PF_0000001
,,2205.0,2019년_딸기,2019-10-30 00:00:00,2020-06-10 00:00:00,,80400.0,544.5,1800.0,0.0,,,,,,,,,,,,PF_0000001
0.0,NORMAL_CODE,43.0,에티켓_20160214,2016-02-14 00:00:00,2016-12-31 00:00:00,B0004000000000000002,80300.0,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7000000000000001,0.0,18.0,70.0,100.0,130.0,PF_0000002
,,204.0,미니찰_20160725,2016-07-25 00:00:00,2016-12-31 00:00:00,B0004000000000000001,80300.0,3000.0,9900.0,6000.0,2.73,5.0,5.0,,2.5,0.7000000000000001,0.0,18.0,70.0,100.0,130.0,PF_0000002
,,2960.0,테스트,2020-02-01 00:00:00,2020-05-31 00:00:00,,80300.0,302.73,999.0,999.0,1.0,,,,,,,,,,,PF_0000002
0.0,NORMAL_CODE,38.0,33720160131,2016-01-31 00:00:00,2016-12-31 00:00:00,B0004000000000000002,80300.0,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7000000000000001,0.0,18.0,180.0,100.0,130.0,PF_0000004
,,88.0,33720150905,2015-09-05 00:00:00,2016-03-01 00:00:00,B0004000000000000002,80300.0,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7000000000000001,0.0,18.0,180.0,100.0,130.0,PF_0000004
0.0,NORMAL_CODE,33.0,33720160131,2016-01-31 00:00:00,2016-12-31 00:00:00,B0004000000000000002,80300.0,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7000000000000001,0.0,18.0,180.0,100.0,130.0,PF_0000005
,,87.0,33720150905,2015-09-05 00:00:00,2016-01-03 00:00:00,B0004000000000000002,80300.0,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7000000000000001,0.0,18.0,180.0,100.0,130.0,PF_0000005
0.0,NORMAL_CODE,39.0,레몬시트_20151030,2015-10-30 00:00:00,2016-12-31 00:00:00,B0004000000000000001,80300.0,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7000000000000001,0.0,18.0,180.0,100.0,130.0,PF_0000006
0.0,NORMAL_CODE,31.0,339완숙_20150904,2015-09-04 00:00:00,2016-01-21 00:00:00,B0004000000000000001,80300.0,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7000000000000001,0.0,18.0,180.0,100.0,130.0,PF_0000007
,,32.0,7160방울_20160220,2016-02-20 00:00:00,2016-12-31 00:00:00,B0004000000000000001,80300.0,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7000000000000001,0.0,18.0,180.0,100.0,130.0,PF_0000007
0.0,NORMAL_CODE,35.0,베타티니_20151116,2015-11-16 00:00:00,2016-12-31 00:00:00,B0004000000000000002,80300.0,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7000000000000001,0.0,18.0,70.0,100.0,130.0,PF_0000008
0.0,NORMAL_CODE,40.0,TY티니_20150801,2015-08-01 00:00:00,2015-10-11 00:00:00,B0004000000000000002,80300.0,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7000000000000001,0.0,18.0,70.0,100.0,130.0,PF_0000009
,,2206.0,2019년_토마토,2019-08-03 00:00:00,2020-01-30 00:00:00,,80300.0,544.5,1800.0,17000.0,0.1,,,,,,,,,,,PF_0000009
0.0,NORMAL_CODE,48.0,베타티니_20160130,2016-01-30 00:00:00,2016-12-31 00:00:00,B0004000000000000002,80300.0,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7000000000000001,0.0,18.0,70.0,100.0,130.0,PF_0000010
,,202.0,TYT_20160705,2016-07-05 00:00:00,2016-12-31 00:00:00,B0004000000000000001,80300.0,3000.0,9900.0,8500.0,2.73,5.0,5.0,2.73,2.5,0.7000000000000001,0.0,18.0,70.0,100.0,130.0,PF_0000010
,,3420.0,2020년_토마토,2020-07-23 00:00:00,2020-12-31 00:00:00,,80300.0,3600.0,11900.83,5500.0,2.2,,,,,,,,,,,PF_0000010
0.0,NORMAL_CODE,23.0,센스큐_20150815,2015-08-15 00:00:00,2016-01-24 00:00:00,B0004000000000000002,80300.0,3000.0,9900.0,23000.0,2.73,5.0,5.0,2.73,2.5,0.7000000000000001,0.0,18.0,70.0,100.0,130.0,PF_0000011
