,항공사,출발시간,도착시간,비행시간,항공금액(원),할인꿀팁,시간대,카드사
84,아시아나항공,09:50,11:00,01시간 10분,123000,삼성카드 결제시 3% 캐시백,09,삼성카드 
85,아시아나항공,09:50,11:00,01시간 10분,147000,삼성카드 결제시 3% 캐시백,09,삼성카드 
86,아시아나항공,10:05,11:20,01시간 15분,123000,삼성카드 결제시 3% 캐시백,10,삼성카드 
87,아시아나항공,10:05,11:20,01시간 15분,147000,삼성카드 결제시 3% 캐시백,10,삼성카드 
88,아시아나항공,10:15,11:25,01시간 10분,93000,삼성카드 결제시 3% 캐시백,10,삼성카드 
89,아시아나항공,10:15,11:25,01시간 10분,147000,삼성카드 결제시 3% 캐시백,10,삼성카드 
90,제주항공,10:20,11:30,01시간 10분,133500,삼성카드 결제시 3% 캐시백,10,삼성카드 
91,제주항공,10:30,11:30,01시간 00분,133500,삼성카드 결제시 3% 캐시백,10,삼성카드 
92,제주항공,10:30,11:30,01시간 00분,184500,삼성카드 결제시 3% 캐시백,10,삼성카드 
93,진에어,10:35,11:45,01시간 10분,104900,삼성카드 결제시 3.8% 캐시백,10,삼성카드 
94,진에어,10:35,11:45,01시간 10분,134000,삼성카드 결제시 3.8% 캐시백,10,삼성카드 
95,대한항공,10:35,11:50,01시간 15분,144000,삼성카드 결제시 3% 캐시백,10,삼성카드 
96,아시아나항공,10:40,11:50,01시간 10분,93000,삼성카드 결제시 3% 캐시백,10,삼성카드 
97,대한항공,10:40,11:55,01시간 15분,144000,삼성카드 결제시 3% 캐시백,10,삼성카드 
98,아시아나항공,10:40,11:50,01시간 10분,147000,삼성카드 결제시 3% 캐시백,10,삼성카드 
99,대한항공,10:40,11:55,01시간 15분,204000,삼성카드 결제시 3% 캐시백,10,삼성카드 
100,대한항공,11:00,12:10,01시간 10분,144000,삼성카드 결제시 3% 캐시백,11,삼성카드 
101,아시아나항공,11:15,12:25,01시간 10분,81000,삼성카드 결제시 3% 캐시백,11,삼성카드 
102,아시아나항공,11:15,12:25,01시간 10분,87000,삼성카드 결제시 3% 캐시백,11,삼성카드 
103,아시아나항공,11:15,12:25,01시간 10분,147000,삼성카드 결제시 3% 캐시백,11,삼성카드 
104,대한항공,11:20,12:30,01시간 10분,144000,삼성카드 결제시 3% 캐시백,11,삼성카드 
105,에어부산,11:25,12:30,01시간 05분,98020,삼성카드 결제시 4% 캐시백,11,삼성카드 
106,에어부산,11:25,12:30,01시간 05분,133000,롯데카드 결제시 4% 캐시백,11,롯데카드 
107,티웨이항공,11:30,12:40,01시간 10분,76900,하나 신용/체크카드 결제시 3% 캐시백,11,하나 신용/체크카드 
108,티웨이항공,11:30,12:40,01시간 10분,132200,KB국민카드 결제시 4% 청구할인,11,KB국민카드 
109,티웨이항공,11:45,12:55,01시간 10분,76900,하나 신용/체크카드 결제시 3% 캐시백,11,하나 신용/체크카드 
110,티웨이항공,11:45,12:55,01시간 10분,132200,KB국민카드 결제시 4% 청구할인,11,KB국민카드 
111,에어부산,11:50,13:00,01시간 10분,74700,삼성카드 결제시 4% 캐시백,11,삼성카드 
112,에어부산,11:50,13:00,01시간 10분,133000,롯데카드 결제시 4% 캐시백,11,롯데카드 
113,아시아나항공에어부산 공동운항,11:50,13:00,01시간 10분,147000,삼성카드 결제시 3% 캐시백,11,삼성카드 
114,진에어,11:55,13:05,01시간 10분,60900,삼성카드 결제시 3.8% 캐시백,11,삼성카드 
115,아시아나항공,11:55,13:05,01시간 10분,75000,삼성카드 결제시 3% 캐시백,11,삼성카드 
116,아시아나항공,11:55,13:05,01시간 10분,87000,삼성카드 결제시 3% 캐시백,11,삼성카드 
117,진에어,11:55,13:05,01시간 10분,134000,삼성카드 결제시 3.8% 캐시백,11,삼성카드 
118,대한항공,11:55,13:05,01시간 10분,144000,삼성카드 결제시 3% 캐시백,11,삼성카드 
119,아시아나항공,11:55,13:05,01시간 10분,147000,삼성카드 결제시 3% 캐시백,11,삼성카드 
120,제주항공,12:15,13:35,01시간 20분,68900,"네이버페이 결제시 1%+1,500원 적립",12,네이버페이 
121,제주항공,12:15,13:35,01시간 20분,133500,삼성카드 결제시 3% 캐시백,12,삼성카드 
122,진에어,12:20,13:30,01시간 10분,55900,삼성카드 결제시 3.8% 캐시백,12,삼성카드 
123,아시아나항공,12:20,13:35,01시간 15분,63000,"네이버페이 결제시 1%+1,500원 적립",12,네이버페이 
124,아시아나항공,12:20,13:35,01시간 15분,87000,삼성카드 결제시 3% 캐시백,12,삼성카드 
125,진에어,12:20,13:30,01시간 10분,134000,삼성카드 결제시 3.8% 캐시백,12,삼성카드 
126,대한항공,12:20,13:30,01시간 10분,144000,삼성카드 결제시 3% 캐시백,12,삼성카드 
127,아시아나항공,12:20,13:35,01시간 15분,147000,삼성카드 결제시 3% 캐시백,12,삼성카드 
128,제주항공,12:40,13:50,01시간 10분,64900,"네이버페이 결제시 1%+1,500원 적립",12,네이버페이 
129,제주항공,12:40,13:50,01시간 10분,133500,삼성카드 결제시 3% 캐시백,12,삼성카드 
130,대한항공,12:45,13:55,01시간 10분,86000,삼성카드 결제시 3% 캐시백,12,삼성카드 
131,에어서울,12:50,14:00,01시간 10분,56900,KB국민카드 결제시 3% 청구할인,12,KB국민카드 
132,티웨이항공,12:50,14:00,01시간 10분,61900,하나 신용/체크카드 결제시 3% 캐시백,12,하나 신용/체크카드 
133,에어서울,12:50,14:00,01시간 10분,62900,KB국민카드 결제시 3% 청구할인,12,KB국민카드 
134,아시아나항공,12:50,13:55,01시간 05분,69000,"네이버페이 결제시 1%+1,500원 적립",12,네이버페이 
135,아시아나항공,12:50,13:55,01시간 05분,87000,삼성카드 결제시 3% 캐시백,12,삼성카드 
136,티웨이항공,12:50,14:00,01시간 10분,132200,KB국민카드 결제시 4% 청구할인,12,KB국민카드 
137,에어서울,12:50,14:00,01시간 10분,134000,삼성카드 결제시 3% 캐시백,12,삼성카드 
138,아시아나항공,12:50,13:55,01시간 05분,147000,삼성카드 결제시 3% 캐시백,12,삼성카드 
139,대한항공,13:00,14:10,01시간 10분,86000,삼성카드 결제시 3% 캐시백,13,삼성카드 
140,티웨이항공,13:05,14:15,01시간 10분,55900,하나 신용/체크카드 결제시 3% 캐시백,13,하나 신용/체크카드 
141,티웨이항공,13:05,14:15,01시간 10분,132200,KB국민카드 결제시 4% 청구할인,13,KB국민카드 
142,티웨이항공,13:05,14:15,01시간 10분,189200,KB국민카드 결제시 4% 청구할인,13,KB국민카드 
143,제주항공,13:15,14:25,01시간 10분,52900,"네이버페이 결제시 1%+1,500원 적립",13,네이버페이 
144,제주항공,13:15,14:25,01시간 10분,60900,KB국민카드 결제시 3% 청구할인,13,KB국민카드 
145,제주항공,13:15,14:25,01시간 10분,133500,삼성카드 결제시 3% 캐시백,13,삼성카드 
146,대한항공,13:20,14:30,01시간 10분,65000,삼성카드 결제시 3% 캐시백,13,삼성카드 
147,아시아나항공,13:25,14:30,01시간 05분,57000,"네이버페이 결제시 1%+1,500원 적립",13,네이버페이 
148,진에어,13:25,14:40,01시간 15분,59900,삼성카드 결제시 3.8% 캐시백,13,삼성카드 
149,아시아나항공,13:25,14:30,01시간 05분,87000,삼성카드 결제시 3% 캐시백,13,삼성카드 
150,진에어,13:25,14:40,01시간 15분,134000,삼성카드 결제시 3.8% 캐시백,13,삼성카드 
