,지역,일시,발전량,년,월,계절
159,강원도,2017-06-09,500287.789,2017,06,봄
160,강원도,2017-06-10,609716.108,2017,06,봄
161,강원도,2017-06-11,703948.9419999999,2017,06,봄
162,강원도,2017-06-12,585119.574,2017,06,봄
163,강원도,2017-06-13,465937.613,2017,06,봄
164,강원도,2017-06-14,570158.773,2017,06,봄
165,강원도,2017-06-15,682701.88,2017,06,봄
166,강원도,2017-06-16,649330.841,2017,06,봄
167,강원도,2017-06-17,682200.098,2017,06,봄
168,강원도,2017-06-18,671382.872,2017,06,봄
169,강원도,2017-06-19,638052.16,2017,06,봄
170,강원도,2017-06-20,527316.983,2017,06,봄
171,강원도,2017-06-21,506016.258,2017,06,봄
172,강원도,2017-06-22,661514.342,2017,06,봄
173,강원도,2017-06-23,581549.569,2017,06,봄
174,강원도,2017-06-24,315400.72500000003,2017,06,봄
175,강원도,2017-06-25,351089.717,2017,06,봄
176,강원도,2017-06-26,401479.078,2017,06,봄
177,강원도,2017-06-27,646860.346,2017,06,봄
178,강원도,2017-06-28,560647.38,2017,06,봄
179,강원도,2017-06-29,508639.011,2017,06,봄
180,강원도,2017-06-30,552919.323,2017,06,봄
181,강원도,2017-07-01,328030.131,2017,07,봄
182,강원도,2017-07-02,146075.201,2017,07,봄
183,강원도,2017-07-03,171853.593,2017,07,봄
184,강원도,2017-07-04,449162.60000000003,2017,07,봄
185,강원도,2017-07-05,609556.28,2017,07,봄
186,강원도,2017-07-06,649949.4349999999,2017,07,봄
187,강원도,2017-07-07,303686.811,2017,07,봄
188,강원도,2017-07-08,130906.16399999999,2017,07,봄
189,강원도,2017-07-09,415648.176,2017,07,봄
190,강원도,2017-07-10,93856.868,2017,07,봄
191,강원도,2017-07-11,547189.648,2017,07,봄
192,강원도,2017-07-12,559841.7579999999,2017,07,봄
193,강원도,2017-07-13,605597.862,2017,07,봄
194,강원도,2017-07-14,451347.224,2017,07,봄
195,강원도,2017-07-15,219675.233,2017,07,봄
196,강원도,2017-07-16,266276.113,2017,07,봄
197,강원도,2017-07-17,362040.737,2017,07,봄
198,강원도,2017-07-18,407104.77999999997,2017,07,봄
199,강원도,2017-07-19,522733.918,2017,07,봄
200,강원도,2017-07-20,553346.9130000001,2017,07,봄
201,강원도,2017-07-21,375108.219,2017,07,봄
202,강원도,2017-07-22,185754.974,2017,07,봄
203,강원도,2017-07-23,58052.312,2017,07,봄
204,강원도,2017-07-24,128203.751,2017,07,봄
205,강원도,2017-07-25,497923.12200000003,2017,07,봄
206,강원도,2017-07-26,698948.0869999999,2017,07,봄
207,강원도,2017-07-27,451018.723,2017,07,봄
208,강원도,2017-07-28,118565.156,2017,07,봄
209,강원도,2017-07-29,177051.551,2017,07,봄
210,강원도,2017-07-30,463429.4,2017,07,봄
211,강원도,2017-07-31,101484.458,2017,07,봄
212,강원도,2017-08-01,475250.097,2017,08,봄
213,강원도,2017-08-02,489612.217,2017,08,봄
214,강원도,2017-08-03,625606.814,2017,08,봄
215,강원도,2017-08-04,589980.24,2017,08,봄
216,강원도,2017-08-05,594287.601,2017,08,봄
217,강원도,2017-08-06,468397.97,2017,08,봄
218,강원도,2017-08-07,529116.195,2017,08,봄
219,강원도,2017-08-08,516920.924,2017,08,봄
220,강원도,2017-08-09,172728.971,2017,08,봄
221,강원도,2017-08-10,160401.15300000002,2017,08,봄
222,강원도,2017-08-11,456608.641,2017,08,봄
223,강원도,2017-08-12,537235.938,2017,08,봄
224,강원도,2017-08-13,297683.116,2017,08,봄
225,강원도,2017-08-14,178083.358,2017,08,봄
226,강원도,2017-08-15,78466.152,2017,08,봄
227,강원도,2017-08-16,220218.774,2017,08,봄
228,강원도,2017-08-17,229159.19700000001,2017,08,봄
229,강원도,2017-08-18,387136.13800000004,2017,08,봄
230,강원도,2017-08-19,307832.22,2017,08,봄
231,강원도,2017-08-20,152561.494,2017,08,봄
232,강원도,2017-08-21,209376.907,2017,08,봄
233,강원도,2017-08-22,498414.137,2017,08,봄
234,강원도,2017-08-23,170528.021,2017,08,봄
235,강원도,2017-08-24,109576.224,2017,08,봄
236,강원도,2017-08-25,496405.218,2017,08,봄
237,강원도,2017-08-26,688867.856,2017,08,봄
238,강원도,2017-08-27,334923.5,2017,08,봄
239,강원도,2017-08-28,299151.64,2017,08,봄
240,강원도,2017-08-29,590133.583,2017,08,봄
241,강원도,2017-08-30,283651.493,2017,08,봄
242,강원도,2017-08-31,549926.916,2017,08,봄
243,강원도,2017-09-01,718687.541,2017,09,봄
244,강원도,2017-09-02,698903.901,2017,09,봄
245,강원도,2017-09-03,695735.679,2017,09,봄
246,강원도,2017-09-04,592588.939,2017,09,봄
247,강원도,2017-09-05,197663.351,2017,09,봄
248,강원도,2017-09-06,172626.84100000001,2017,09,봄
249,강원도,2017-09-07,495490.283,2017,09,봄
250,강원도,2017-09-08,560135.345,2017,09,봄
251,강원도,2017-09-09,474614.39400000003,2017,09,봄
252,강원도,2017-09-10,260498.91,2017,09,봄
253,강원도,2017-09-11,160084.863,2017,09,봄
254,강원도,2017-09-12,552463.858,2017,09,봄
255,강원도,2017-09-13,660199.828,2017,09,봄
256,강원도,2017-09-14,625339.497,2017,09,봄
257,강원도,2017-09-15,571462.102,2017,09,봄
258,강원도,2017-09-16,362756.005,2017,09,봄
259,강원도,2017-09-17,382814.219,2017,09,봄
260,강원도,2017-09-18,556927.426,2017,09,봄
261,강원도,2017-09-19,346913.138,2017,09,봄
262,강원도,2017-09-20,691536.5700000001,2017,09,봄
263,강원도,2017-09-21,601644.432,2017,09,봄
264,강원도,2017-09-22,525248.766,2017,09,봄
265,강원도,2017-09-23,425048.068,2017,09,봄
266,강원도,2017-09-24,452649.17,2017,09,봄
267,강원도,2017-09-25,516762.748,2017,09,봄
268,강원도,2017-09-26,536144.225,2017,09,봄
269,강원도,2017-09-27,137497.299,2017,09,봄
270,강원도,2017-09-28,606029.4079999999,2017,09,봄
271,강원도,2017-09-29,601637.865,2017,09,봄
272,강원도,2017-09-30,511589.797,2017,09,봄
273,강원도,2017-10-01,131309.647,2017,10,봄
274,강원도,2017-10-02,374346.799,2017,10,봄
275,강원도,2017-10-03,333025.931,2017,10,봄
276,강원도,2017-10-04,448625.962,2017,10,봄
277,강원도,2017-10-05,427297.615,2017,10,봄
278,강원도,2017-10-06,107409.255,2017,10,봄
279,강원도,2017-10-07,355043.101,2017,10,봄
280,강원도,2017-10-08,442912.181,2017,10,봄
281,강원도,2017-10-09,396152.386,2017,10,봄
282,강원도,2017-10-10,301137.222,2017,10,봄
283,강원도,2017-10-11,184098.01299999998,2017,10,봄
284,강원도,2017-10-12,98075.105,2017,10,봄
285,강원도,2017-10-13,494312.54099999997,2017,10,봄
286,강원도,2017-10-14,586614.014,2017,10,봄
287,강원도,2017-10-15,453453.93700000003,2017,10,봄
288,강원도,2017-10-16,367108.273,2017,10,봄
289,강원도,2017-10-17,534625.3,2017,10,봄
290,강원도,2017-10-18,133111.163,2017,10,봄
291,강원도,2017-10-19,364968.362,2017,10,봄
292,강원도,2017-10-20,502720.224,2017,10,봄
293,강원도,2017-10-21,529690.996,2017,10,봄
294,강원도,2017-10-22,260050.894,2017,10,봄
295,강원도,2017-10-23,483542.402,2017,10,봄
296,강원도,2017-10-24,480767.62,2017,10,봄
297,강원도,2017-10-25,500073.303,2017,10,봄
298,강원도,2017-10-26,339359.306,2017,10,봄
299,강원도,2017-10-27,426876.102,2017,10,봄
300,강원도,2017-10-28,449439.867,2017,10,봄
301,강원도,2017-10-29,289493.386,2017,10,봄
302,강원도,2017-10-30,585051.207,2017,10,봄
303,강원도,2017-10-31,580971.365,2017,10,봄
304,강원도,2017-11-01,155147.339,2017,11,봄
305,강원도,2017-11-02,247121.848,2017,11,봄
306,강원도,2017-11-03,171195.693,2017,11,봄
307,강원도,2017-11-04,339745.657,2017,11,봄
308,강원도,2017-11-05,530887.119,2017,11,봄
309,강원도,2017-11-06,468221.39400000003,2017,11,봄
310,강원도,2017-11-07,362101.102,2017,11,봄
311,강원도,2017-11-08,410880.449,2017,11,봄
312,강원도,2017-11-09,510940.379,2017,11,봄
313,강원도,2017-11-10,229405.542,2017,11,봄
314,강원도,2017-11-11,542326.273,2017,11,봄
315,강원도,2017-11-12,496242.265,2017,11,봄
316,강원도,2017-11-13,197445.215,2017,11,봄
317,강원도,2017-11-14,505761.518,2017,11,봄
318,강원도,2017-11-15,463172.503,2017,11,봄
319,강원도,2017-11-16,531846.9079999999,2017,11,봄
320,강원도,2017-11-17,125926.566,2017,11,봄
321,강원도,2017-11-18,448982.995,2017,11,봄
322,강원도,2017-11-19,541843.199,2017,11,봄
323,강원도,2017-11-20,343290.868,2017,11,봄
324,강원도,2017-11-21,452037.152,2017,11,봄
325,강원도,2017-11-22,89093.399,2017,11,봄
326,강원도,2017-11-23,396136.884,2017,11,봄
327,강원도,2017-11-24,282043.247,2017,11,봄
328,강원도,2017-11-25,262467.843,2017,11,봄
329,강원도,2017-11-26,215065.557,2017,11,봄
330,강원도,2017-11-27,390719.792,2017,11,봄
331,강원도,2017-11-28,257257.896,2017,11,봄
332,강원도,2017-11-29,415949.986,2017,11,봄
333,강원도,2017-11-30,452549.12100000004,2017,11,봄
334,강원도,2017-12-01,464724.92,2017,12,봄
335,강원도,2017-12-02,436316.858,2017,12,봄
336,강원도,2017-12-03,125172.51699999999,2017,12,봄
337,강원도,2017-12-04,415482.352,2017,12,봄
338,강원도,2017-12-05,490652.664,2017,12,봄
339,강원도,2017-12-06,368319.609,2017,12,봄
340,강원도,2017-12-07,237048.167,2017,12,봄
341,강원도,2017-12-08,458310.313,2017,12,봄
342,강원도,2017-12-09,445325.063,2017,12,봄
343,강원도,2017-12-10,63938.414000000004,2017,12,봄
344,강원도,2017-12-11,421743.805,2017,12,봄
345,강원도,2017-12-12,455396.04600000003,2017,12,봄
346,강원도,2017-12-13,458248.97500000003,2017,12,봄
347,강원도,2017-12-14,282426.586,2017,12,봄
348,강원도,2017-12-15,206813.204,2017,12,봄
349,강원도,2017-12-16,413693.716,2017,12,봄
350,강원도,2017-12-17,469446.013,2017,12,봄
351,강원도,2017-12-18,78247.103,2017,12,봄
352,강원도,2017-12-19,236983.93800000002,2017,12,봄
353,강원도,2017-12-20,285219.917,2017,12,봄
354,강원도,2017-12-21,384371.162,2017,12,봄
355,강원도,2017-12-22,239159.755,2017,12,봄
356,강원도,2017-12-23,252156.991,2017,12,봄
357,강원도,2017-12-24,21007.766,2017,12,봄
358,강원도,2017-12-25,391698.474,2017,12,봄
359,강원도,2017-12-26,420676.53599999996,2017,12,봄
360,강원도,2017-12-27,452233.352,2017,12,봄
361,강원도,2017-12-28,398841.523,2017,12,봄
362,강원도,2017-12-29,242394.334,2017,12,봄
363,강원도,2017-12-30,245198.02,2017,12,봄
364,강원도,2017-12-31,382599.751,2017,12,봄
365,강원도,2018-01-01,500806.116,2018,01,봄
366,강원도,2018-01-02,395716.137,2018,01,봄
367,강원도,2018-01-03,505753.284,2018,01,봄
368,강원도,2018-01-04,365376.94800000003,2018,01,봄
369,강원도,2018-01-05,405754.01,2018,01,봄
370,강원도,2018-01-06,515656.502,2018,01,봄
371,강원도,2018-01-07,287266.712,2018,01,봄
372,강원도,2018-01-08,134067.692,2018,01,봄
373,강원도,2018-01-09,359299.492,2018,01,봄
374,강원도,2018-01-10,417747.38300000003,2018,01,봄
375,강원도,2018-01-11,531206.302,2018,01,봄
376,강원도,2018-01-12,544611.356,2018,01,봄
377,강원도,2018-01-13,386929.223,2018,01,봄
378,강원도,2018-01-14,448824.46,2018,01,봄
379,강원도,2018-01-15,393871.732,2018,01,봄
380,강원도,2018-01-16,170195.601,2018,01,봄
381,강원도,2018-01-17,154207.315,2018,01,봄
382,강원도,2018-01-18,212934.156,2018,01,봄
383,강원도,2018-01-19,535763.23,2018,01,봄
384,강원도,2018-01-20,267513.507,2018,01,봄
385,강원도,2018-01-21,440932.078,2018,01,봄
386,강원도,2018-01-22,195187.346,2018,01,봄
387,강원도,2018-01-23,253191.519,2018,01,봄
388,강원도,2018-01-24,406287.705,2018,01,봄
389,강원도,2018-01-25,501608.06,2018,01,봄
390,강원도,2018-01-26,586928.553,2018,01,봄
391,강원도,2018-01-27,596880.486,2018,01,봄
